Subject,Domain,Cycle (QC),Competency,Notion bucket,Notes / examples
Français (langue d’enseignement),Langues,Cycle 3 (Gr.5–6),Communiquer oralement,interaction; prise de parole; écoute; codes/registres,
Français (langue d’enseignement),Langues,Cycle 3 (Gr.5–6),Apprécier des œuvres littéraires,repères culturels; auteurs/œuvres; vocabulaire d’appréciation,
Anglais (langue seconde),Langues,Cycle 2 (Gr.3–4),Interagir oralement en anglais,fonctions langagières; stratégies d’interaction; lexique thématique; prononciation,Implantation locale peut varier en Cycle 1.
Anglais (langue seconde),Langues,Cycle 2 (Gr.3–4),Réinvestir sa compréhension de textes lus et entendus,stratégies d’écoute/lecture; repérage d’idées; inférences; types de textes simples,Implantation locale peut varier en Cycle 1.
Anglais (langue seconde),Langues,Cycle 2 (Gr.3–4),Écrire des textes,"planifier, rédiger, réviser des textes courts; structures/grammaire de base",Implantation locale peut varier en Cycle 1.
Anglais (langue seconde),Langues,Cycle 3 (Gr.5–6),Interagir oralement en anglais,fonctions langagières; stratégies d’interaction; lexique thématique; prononciation,Implantation locale peut varier en Cycle 1.
Anglais (langue seconde),Langues,Cycle 3 (Gr.5–6),Réinvestir sa compréhension de textes lus et entendus,stratégies d’écoute/lecture; repérage d’idées; inférences; types de textes simples,Implantation locale peut varier en Cycle 1.
Anglais (langue seconde),Langues,Cycle 3 (Gr.5–6),Écrire des textes,"planifier, rédiger, réviser des textes courts; structures/grammaire de base",Implantation locale peut varier en Cycle 1.
Mathématique,"Math, Science & Technologie",Cycle 1 (Gr.1–2),Résoudre des situations-problèmes,"nombres/opérations (entiers, décimaux, fractions); sens des opérations; calcul mental/écrit",
Mathématique,"Math, Science & Technologie",Cycle 1 (Gr.1–2),Résoudre des situations-problèmes,"algèbre/relations (suites, régularités, égalité); géométrie (2D/3D, propriétés, transformations); mesure (unités, instruments)",
Mathématique,"Math, Science & Technologie",Cycle 1 (Gr.1–2),Résoudre des situations-problèmes,"statistique/probabilité (collecte, tableaux/diagrammes, tendances); vocabulaire/symboles; justification",
Mathématique,"Math, Science & Technologie",Cycle 1 (Gr.1–2),Raisonner à l’aide de concepts et de processus mathématiques,"nombres/opérations (entiers, décimaux, fractions); sens des opérations; calcul mental/écrit",
Mathématique,"Math, Science & Technologie",Cycle 1 (Gr.1–2),Raisonner à l’aide de concepts et de processus mathématiques,"algèbre/relations (suites, régularités, égalité); géométrie (2D/3D, propriétés, transformations); mesure (unités, instruments)",
Mathématique,"Math, Science & Technologie",Cycle 1 (Gr.1–2),Raisonner à l’aide de concepts et de processus mathématiques,"statistique/probabilité (collecte, tableaux/diagrammes, tendances); vocabulaire/symboles; justification",
Mathématique,"Math, Science & Technologie",Cycle 1 (Gr.1–2),Communiquer à l’aide du langage mathématique,"nombres/opérations (entiers, décimaux, fractions); sens des opérations; calcul mental/écrit",
Mathématique,"Math, Science & Technologie",Cycle 1 (Gr.1–2),Communiquer à l’aide du langage mathématique,"algèbre/relations (suites, régularités, égalité); géométrie (2D/3D, propriétés, transformations); mesure (unités, instruments)",
Mathématique,"Math, Science & Technologie",Cycle 1 (Gr.1–2),Communiquer à l’aide du langage mathématique,"statistique/probabilité (collecte, tableaux/diagrammes, tendances); vocabulaire/symboles; justification",
Mathématique,"Math, Science & Technologie",Cycle 2 (Gr.3–4),Résoudre des situations-problèmes,"nombres/opérations (entiers, décimaux, fractions); sens des opérations; calcul mental/écrit",
Mathématique,"Math, Science & Technologie",Cycle 2 (Gr.3–4),Résoudre des situations-problèmes,"algèbre/relations (suites, régularités, égalité); géométrie (2D/3D, propriétés, transformations); mesure (unités, instruments)",
Mathématique,"Math, Science & Technologie",Cycle 2 (Gr.3–4),Résoudre des situations-problèmes,"statistique/probabilité (collecte, tableaux/diagrammes, tendances); vocabulaire/symboles; justification",
Mathématique,"Math, Science & Technologie",Cycle 2 (Gr.3–4),Raisonner à l’aide de concepts et de processus mathématiques,"nombres/opérations (entiers, décimaux, fractions); sens des opérations; calcul mental/écrit",
Mathématique,"Math, Science & Technologie",Cycle 2 (Gr.3–4),Raisonner à l’aide de concepts et de processus mathématiques,"algèbre/relations (suites, régularités, égalité); géométrie (2D/3D, propriétés, transformations); mesure (unités, instruments)",
Mathématique,"Math, Science & Technologie",Cycle 2 (Gr.3–4),Raisonner à l’aide de concepts et de processus mathématiques,"statistique/probabilité (collecte, tableaux/diagrammes, tendances); vocabulaire/symboles; justification",
Mathématique,"Math, Science & Technologie",Cycle 2 (Gr.3–4),Communiquer à l’aide du langage mathématique,"nombres/opérations (entiers, décimaux, fractions); sens des opérations; calcul mental/écrit",
Mathématique,"Math, Science & Technologie",Cycle 2 (Gr.3–4),Communiquer à l’aide du langage mathématique,"algèbre/relations (suites, régularités, égalité); géométrie (2D/3D, propriétés, transformations); mesure (unités, instruments)",
Mathématique,"Math, Science & Technologie",Cycle 2 (Gr.3–4),Communiquer à l’aide du langage mathématique,"statistique/probabilité (collecte, tableaux/diagrammes, tendances); vocabulaire/symboles; justification",
Mathématique,"Math, Science & Technologie",Cycle 3 (Gr.5–6),Résoudre des situations-problèmes,"nombres/opérations (entiers, décimaux, fractions); sens des opérations; calcul mental/écrit",
Mathématique,"Math, Science & Technologie",Cycle 3 (Gr.5–6),Résoudre des situations-problèmes,"algèbre/relations (suites, régularités, égalité); géométrie (2D/3D, propriétés, transformations); mesure (unités, instruments)",
Mathématique,"Math, Science & Technologie",Cycle 3 (Gr.5–6),Résoudre des situations-problèmes,"statistique/probabilité (collecte, tableaux/diagrammes, tendances); vocabulaire/symboles; justification",
Mathématique,"Math, Science & Technologie",Cycle 3 (Gr.5–6),Raisonner à l’aide de concepts et de processus mathématiques,"nombres/opérations (entiers, décimaux, fractions); sens des opérations; calcul mental/écrit",
Mathématique,"Math, Science & Technologie",Cycle 3 (Gr.5–6),Raisonner à l’aide de concepts et de processus mathématiques,"algèbre/relations (suites, régularités, égalité); géométrie (2D/3D, propriétés, transformations); mesure (unités, instruments)",
Mathématique,"Math, Science & Technologie",Cycle 3 (Gr.5–6),Raisonner à l’aide de concepts et de processus mathématiques,"statistique/probabilité (collecte, tableaux/diagrammes, tendances); vocabulaire/symboles; justification",
Mathématique,"Math, Science & Technologie",Cycle 3 (Gr.5–6),Communiquer à l’aide du langage mathématique,"nombres/opérations (entiers, décimaux, fractions); sens des opérations; calcul mental/écrit",
Mathématique,"Math, Science & Technologie",Cycle 3 (Gr.5–6),Communiquer à l’aide du langage mathématique,"algèbre/relations (suites, régularités, égalité); géométrie (2D/3D, propriétés, transformations); mesure (unités, instruments)",
Mathématique,"Math, Science & Technologie",Cycle 3 (Gr.5–6),Communiquer à l’aide du langage mathématique,"statistique/probabilité (collecte, tableaux/diagrammes, tendances); vocabulaire/symboles; justification",
Science et technologie,"Math, Science & Technologie",Cycle 1 (Gr.1–2),Proposer des explications ou des solutions,Univers matériel: matière/matériaux; forces/mouvements; objets et machines simples,
Science et technologie,"Math, Science & Technologie",Cycle 1 (Gr.1–2),Proposer des explications ou des solutions,Univers vivant: êtres vivants; besoins/habitats; interactions; cycles de vie; adaptation,
Science et technologie,"Math, Science & Technologie",Cycle 1 (Gr.1–2),Proposer des explications ou des solutions,"Terre et espace: relief, sols, eau, météo/saisons; repères spatiaux et astres",
Science et technologie,"Math, Science & Technologie",Cycle 1 (Gr.1–2),Proposer des explications ou des solutions,Technologie: fonctions/composantes; conception/fabrication; matériaux; sécurité; impacts,
Science et technologie,"Math, Science & Technologie",Cycle 1 (Gr.1–2),Mettre à profit ses connaissances scientifiques et technologiques,Univers matériel: matière/matériaux; forces/mouvements; objets et machines simples,
Science et technologie,"Math, Science & Technologie",Cycle 1 (Gr.1–2),Mettre à profit ses connaissances scientifiques et technologiques,Univers vivant: êtres vivants; besoins/habitats; interactions; cycles de vie; adaptation,
Science et technologie,"Math, Science & Technologie",Cycle 1 (Gr.1–2),Mettre à profit ses connaissances scientifiques et technologiques,"Terre et espace: relief, sols, eau, météo/saisons; repères spatiaux et astres",
Science et technologie,"Math, Science & Technologie",Cycle 1 (Gr.1–2),Mettre à profit ses connaissances scientifiques et technologiques,Technologie: fonctions/composantes; conception/fabrication; matériaux; sécurité; impacts,
Science et technologie,"Math, Science & Technologie",Cycle 1 (Gr.1–2),Communiquer à l’aide des langages propres à la science et à la technologie,Univers matériel: matière/matériaux; forces/mouvements; objets et machines simples,
Science et technologie,"Math, Science & Technologie",Cycle 1 (Gr.1–2),Communiquer à l’aide des langages propres à la science et à la technologie,Univers vivant: êtres vivants; besoins/habitats; interactions; cycles de vie; adaptation,
Science et technologie,"Math, Science & Technologie",Cycle 1 (Gr.1–2),Communiquer à l’aide des langages propres à la science et à la technologie,"Terre et espace: relief, sols, eau, météo/saisons; repères spatiaux et astres",
Science et technologie,"Math, Science & Technologie",Cycle 1 (Gr.1–2),Communiquer à l’aide des langages propres à la science et à la technologie,Technologie: fonctions/composantes; conception/fabrication; matériaux; sécurité; impacts,
Science et technologie,"Math, Science & Technologie",Cycle 2 (Gr.3–4),Proposer des explications ou des solutions,Univers matériel: matière/matériaux; forces/mouvements; objets et machines simples,
Science et technologie,"Math, Science & Technologie",Cycle 2 (Gr.3–4),Proposer des explications ou des solutions,Univers vivant: êtres vivants; besoins/habitats; interactions; cycles de vie; adaptation,
Science et technologie,"Math, Science & Technologie",Cycle 2 (Gr.3–4),Proposer des explications ou des solutions,"Terre et espace: relief, sols, eau, météo/saisons; repères spatiaux et astres",
Science et technologie,"Math, Science & Technologie",Cycle 2 (Gr.3–4),Proposer des explications ou des solutions,Technologie: fonctions/composantes; conception/fabrication; matériaux; sécurité; impacts,
Science et technologie,"Math, Science & Technologie",Cycle 2 (Gr.3–4),Mettre à profit ses connaissances scientifiques et technologiques,Univers matériel: matière/matériaux; forces/mouvements; objets et machines simples,
Science et technologie,"Math, Science & Technologie",Cycle 2 (Gr.3–4),Mettre à profit ses connaissances scientifiques et technologiques,Univers vivant: êtres vivants; besoins/habitats; interactions; cycles de vie; adaptation,
Science et technologie,"Math, Science & Technologie",Cycle 2 (Gr.3–4),Mettre à profit ses connaissances scientifiques et technologiques,"Terre et espace: relief, sols, eau, météo/saisons; repères spatiaux et astres",
Science et technologie,"Math, Science & Technologie",Cycle 2 (Gr.3–4),Mettre à profit ses connaissances scientifiques et technologiques,Technologie: fonctions/composantes; conception/fabrication; matériaux; sécurité; impacts,
Science et technologie,"Math, Science & Technologie",Cycle 2 (Gr.3–4),Communiquer à l’aide des langages propres à la science et à la technologie,Univers matériel: matière/matériaux; forces/mouvements; objets et machines simples,
Science et technologie,"Math, Science & Technologie",Cycle 2 (Gr.3–4),Communiquer à l’aide des langages propres à la science et à la technologie,Univers vivant: êtres vivants; besoins/habitats; interactions; cycles de vie; adaptation,
Science et technologie,"Math, Science & Technologie",Cycle 2 (Gr.3–4),Communiquer à l’aide des langages propres à la science et à la technologie,"Terre et espace: relief, sols, eau, météo/saisons; repères spatiaux et astres",
Science et technologie,"Math, Science & Technologie",Cycle 2 (Gr.3–4),Communiquer à l’aide des langages propres à la science et à la technologie,Technologie: fonctions/composantes; conception/fabrication; matériaux; sécurité; impacts,
Science et technologie,"Math, Science & Technologie",Cycle 3 (Gr.5–6),Proposer des explications ou des solutions,Univers matériel: matière/matériaux; forces/mouvements; objets et machines simples,
Science et technologie,"Math, Science & Technologie",Cycle 3 (Gr.5–6),Proposer des explications ou des solutions,Univers vivant: êtres vivants; besoins/habitats; interactions; cycles de vie; adaptation,
Science et technologie,"Math, Science & Technologie",Cycle 3 (Gr.5–6),Proposer des explications ou des solutions,"Terre et espace: relief, sols, eau, météo/saisons; repères spatiaux et astres",
Science et technologie,"Math, Science & Technologie",Cycle 3 (Gr.5–6),Proposer des explications ou des solutions,Technologie: fonctions/composantes; conception/fabrication; matériaux; sécurité; impacts,
Science et technologie,"Math, Science & Technologie",Cycle 3 (Gr.5–6),Mettre à profit ses connaissances scientifiques et technologiques,Univers matériel: matière/matériaux; forces/mouvements; objets et machines simples,
Science et technologie,"Math, Science & Technologie",Cycle 3 (Gr.5–6),Mettre à profit ses connaissances scientifiques et technologiques,Univers vivant: êtres vivants; besoins/habitats; interactions; cycles de vie; adaptation,
Science et technologie,"Math, Science & Technologie",Cycle 3 (Gr.5–6),Mettre à profit ses connaissances scientifiques et technologiques,"Terre et espace: relief, sols, eau, météo/saisons; repères spatiaux et astres",
Science et technologie,"Math, Science & Technologie",Cycle 3 (Gr.5–6),Mettre à profit ses connaissances scientifiques et technologiques,Technologie: fonctions/composantes; conception/fabrication; matériaux; sécurité; impacts,
Science et technologie,"Math, Science & Technologie",Cycle 3 (Gr.5–6),Communiquer à l’aide des langages propres à la science et à la technologie,Univers matériel: matière/matériaux; forces/mouvements; objets et machines simples,
Science et technologie,"Math, Science & Technologie",Cycle 3 (Gr.5–6),Communiquer à l’aide des langages propres à la science et à la technologie,Univers vivant: êtres vivants; besoins/habitats; interactions; cycles de vie; adaptation,
Science et technologie,"Math, Science & Technologie",Cycle 3 (Gr.5–6),Communiquer à l’aide des langages propres à la science et à la technologie,"Terre et espace: relief, sols, eau, météo/saisons; repères spatiaux et astres",
Science et technologie,"Math, Science & Technologie",Cycle 3 (Gr.5–6),Communiquer à l’aide des langages propres à la science et à la technologie,Technologie: fonctions/composantes; conception/fabrication; matériaux; sécurité; impacts,
"Univers social (Géographie, histoire et éducation à la citoyenneté)",Univers social,Cycle 1 (Gr.1–2),Construire des repères d’espace et de temps,repérage spatial; cartes simples; chronologie; continuité/changement; réalités sociales proches,
"Univers social (Géographie, histoire et éducation à la citoyenneté)",Univers social,Cycle 1 (Gr.1–2),Interroger/interpréter des réalités sociales,"famille, école, communauté; règles de vie; métiers/services; symboles locaux",
"Univers social (Géographie, histoire et éducation à la citoyenneté)",Univers social,Cycle 2 (Gr.3–4),Interroger/interpréter des réalités sociales,Iroquoiens/Algonquiens vers 1500; Nouvelle-France vers 1645/1745; territoire-ressources-activités,
"Univers social (Géographie, histoire et éducation à la citoyenneté)",Univers social,Cycle 2 (Gr.3–4),Construire des repères d’espace et de temps,"lecture de paysages; types de territoires (urbain, agricole, forestier, récréotouristique, etc.)",
"Univers social (Géographie, histoire et éducation à la citoyenneté)",Univers social,Cycle 3 (Gr.5–6),Interroger/interpréter des réalités sociales,Société canadienne v.1820; québécoise v.1905; v.1980; transformations sociales/politiques/économiques,
"Univers social (Géographie, histoire et éducation à la citoyenneté)",Univers social,Cycle 3 (Gr.5–6),Construire des repères d’espace et de temps,industrialisation; urbanisation; institutions; citoyenneté; organisation du territoire,
Arts plastiques (arts visuels),Arts,Cycle 1 (Gr.1–2),Réaliser des créations plastiques personnelles,"langage visuel (ligne, forme, couleur, texture, valeur, espace, composition)",
Arts plastiques (arts visuels),Arts,Cycle 1 (Gr.1–2),Réaliser des créations plastiques médiatiques,"techniques et matériaux (dessin, peinture, collage, volume, impression)",
Arts plastiques (arts visuels),Arts,Cycle 1 (Gr.1–2),"Apprécier des œuvres, objets culturels et images médiatiques",démarche de création; culture artistique; vocabulaire d’appréciation,
Arts plastiques (arts visuels),Arts,Cycle 2 (Gr.3–4),Réaliser des créations plastiques personnelles,"langage visuel (ligne, forme, couleur, texture, valeur, espace, composition)",
Arts plastiques (arts visuels),Arts,Cycle 2 (Gr.3–4),Réaliser des créations plastiques médiatiques,"techniques et matériaux (dessin, peinture, collage, volume, impression)",
Arts plastiques (arts visuels),Arts,Cycle 2 (Gr.3–4),"Apprécier des œuvres, objets culturels et images médiatiques",démarche de création; culture artistique; vocabulaire d’appréciation,
Arts plastiques (arts visuels),Arts,Cycle 3 (Gr.5–6),Réaliser des créations plastiques personnelles,"langage visuel (ligne, forme, couleur, texture, valeur, espace, composition)",
Arts plastiques (arts visuels),Arts,Cycle 3 (Gr.5–6),Réaliser des créations plastiques médiatiques,"techniques et matériaux (dessin, peinture, collage, volume, impression)",
Arts plastiques (arts visuels),Arts,Cycle 3 (Gr.5–6),"Apprécier des œuvres, objets culturels et images médiatiques",démarche de création; culture artistique; vocabulaire d’appréciation,
Musique,Arts,Cycle 1 (Gr.1–2),Inventer des pièces vocales ou instrumentales,"langage musical (pulsation/tempo, rythme/mètre, hauteur/mélodie, timbre, nuances, formes simples)",
Musique,Arts,Cycle 1 (Gr.1–2),Interpréter des pièces,"représentation (graphies/partitions adaptées); moyens sonores (voix, instruments); jeu d’ensemble",
Musique,Arts,Cycle 1 (Gr.1–2),Apprécier des œuvres musicales,écoute; styles/œuvres; critères et vocabulaire d’appréciation,
Musique,Arts,Cycle 2 (Gr.3–4),Inventer des pièces vocales ou instrumentales,"langage musical (pulsation/tempo, rythme/mètre, hauteur/mélodie, timbre, nuances, formes simples)",
Musique,Arts,Cycle 2 (Gr.3–4),Interpréter des pièces,"représentation (graphies/partitions adaptées); moyens sonores (voix, instruments); jeu d’ensemble",
Musique,Arts,Cycle 2 (Gr.3–4),Apprécier des œuvres musicales,écoute; styles/œuvres; critères et vocabulaire d’appréciation,
Musique,Arts,Cycle 3 (Gr.5–6),Inventer des pièces vocales ou instrumentales,"langage musical (pulsation/tempo, rythme/mètre, hauteur/mélodie, timbre, nuances, formes simples)",
Musique,Arts,Cycle 3 (Gr.5–6),Interpréter des pièces,"représentation (graphies/partitions adaptées); moyens sonores (voix, instruments); jeu d’ensemble",
Musique,Arts,Cycle 3 (Gr.5–6),Apprécier des œuvres musicales,écoute; styles/œuvres; critères et vocabulaire d’appréciation,
Art dramatique,Arts,Cycle 1 (Gr.1–2),Créer,éléments du jeu dramatique; improvisation; création de scènes,Implantation selon offre locale.
Art dramatique,Arts,Cycle 1 (Gr.1–2),Interpréter,personnage; voix/corps; espace scénique; codes du spectacle,Implantation selon offre locale.
Art dramatique,Arts,Cycle 1 (Gr.1–2),Apprécier,vocabulaire d’appréciation; observation et rétroaction,Implantation selon offre locale.
Art dramatique,Arts,Cycle 2 (Gr.3–4),Créer,éléments du jeu dramatique; improvisation; création de scènes,Implantation selon offre locale.
Art dramatique,Arts,Cycle 2 (Gr.3–4),Interpréter,personnage; voix/corps; espace scénique; codes du spectacle,Implantation selon offre locale.
Art dramatique,Arts,Cycle 2 (Gr.3–4),Apprécier,vocabulaire d’appréciation; observation et rétroaction,Implantation selon offre locale.
Art dramatique,Arts,Cycle 3 (Gr.5–6),Créer,éléments du jeu dramatique; improvisation; création de scènes,Implantation selon offre locale.
Art dramatique,Arts,Cycle 3 (Gr.5–6),Interpréter,personnage; voix/corps; espace scénique; codes du spectacle,Implantation selon offre locale.
Art dramatique,Arts,Cycle 3 (Gr.5–6),Apprécier,vocabulaire d’appréciation; observation et rétroaction,Implantation selon offre locale.
Danse,Arts,Cycle 1 (Gr.1–2),Inventer des danses,"langage du mouvement (espace, temps, énergie, relations); composition",Implantation selon offre locale.
Danse,Arts,Cycle 1 (Gr.1–2),Interpréter des danses,techniques de base; mémorisation de séquences; performance,Implantation selon offre locale.
Danse,Arts,Cycle 1 (Gr.1–2),Apprécier des œuvres chorégraphiques,vocabulaire d’appréciation; critères simples d’analyse,Implantation selon offre locale.
Danse,Arts,Cycle 2 (Gr.3–4),Inventer des danses,"langage du mouvement (espace, temps, énergie, relations); composition",Implantation selon offre locale.
Danse,Arts,Cycle 2 (Gr.3–4),Interpréter des danses,techniques de base; mémorisation de séquences; performance,Implantation selon offre locale.
Danse,Arts,Cycle 2 (Gr.3–4),Apprécier des œuvres chorégraphiques,vocabulaire d’appréciation; critères simples d’analyse,Implantation selon offre locale.
Danse,Arts,Cycle 3 (Gr.5–6),Inventer des danses,"langage du mouvement (espace, temps, énergie, relations); composition",Implantation selon offre locale.
Danse,Arts,Cycle 3 (Gr.5–6),Interpréter des danses,techniques de base; mémorisation de séquences; performance,Implantation selon offre locale.
Danse,Arts,Cycle 3 (Gr.5–6),Apprécier des œuvres chorégraphiques,vocabulaire d’appréciation; critères simples d’analyse,Implantation selon offre locale.
Éducation physique et à la santé,Développement de la personne,Cycle 1 (Gr.1–2),Agir dans divers contextes d’activités physiques,habiletés motrices et tactiques; jeux individuels/coopératifs/opposition; sécurité,
Éducation physique et à la santé,Développement de la personne,Cycle 1 (Gr.1–2),Interagir dans divers contextes d’activités physiques,collaboration; communication; règles et fair-play,
Éducation physique et à la santé,Développement de la personne,Cycle 1 (Gr.1–2),Adopter un mode de vie sain et actif,saines habitudes de vie; gestion de l’effort; hygiène; auto-évaluation de sa démarche,
Éducation physique et à la santé,Développement de la personne,Cycle 2 (Gr.3–4),Agir dans divers contextes d’activités physiques,habiletés motrices et tactiques; jeux individuels/coopératifs/opposition; sécurité,
Éducation physique et à la santé,Développement de la personne,Cycle 2 (Gr.3–4),Interagir dans divers contextes d’activités physiques,collaboration; communication; règles et fair-play,
Éducation physique et à la santé,Développement de la personne,Cycle 2 (Gr.3–4),Adopter un mode de vie sain et actif,saines habitudes de vie; gestion de l’effort; hygiène; auto-évaluation de sa démarche,
Éducation physique et à la santé,Développement de la personne,Cycle 3 (Gr.5–6),Agir dans divers contextes d’activités physiques,habiletés motrices et tactiques; jeux individuels/coopératifs/opposition; sécurité,
Éducation physique et à la santé,Développement de la personne,Cycle 3 (Gr.5–6),Interagir dans divers contextes d’activités physiques,collaboration; communication; règles et fair-play,
Éducation physique et à la santé,Développement de la personne,Cycle 3 (Gr.5–6),Adopter un mode de vie sain et actif,saines habitudes de vie; gestion de l’effort; hygiène; auto-évaluation de sa démarche,
Culture et citoyenneté québécoise,Développement de la personne,Cycle 1 (Gr.1–2),Explorer des réalités culturelles,"repères, valeurs, points de vue, ressenti; diversité; dialogue",ECR remplacé au primaire.
Culture et citoyenneté québécoise,Développement de la personne,Cycle 2 (Gr.3–4),Examiner des réalités culturelles,"identités, expressions culturelles, vie démocratique; participation",ECR remplacé au primaire.
Culture et citoyenneté québécoise,Développement de la personne,Cycle 3 (Gr.5–6),Réfléchir de façon critique sur des réalités culturelles,enjeux sociaux à hauteur d’enfant; argumentation; perspectives; dialogue,ECR remplacé au primaire.
Compétences transversales (toutes disciplines),Transversal,Cycles 1–3,Exploiter l’information,compétence transversale,Ordre: Intellectuel
Compétences transversales (toutes disciplines),Transversal,Cycles 1–3,Résoudre des problèmes,compétence transversale,Ordre: Intellectuel
Compétences transversales (toutes disciplines),Transversal,Cycles 1–3,Exercer son jugement critique,compétence transversale,Ordre: Intellectuel
Compétences transversales (toutes disciplines),Transversal,Cycles 1–3,Mettre en œuvre sa pensée créatrice,compétence transversale,Ordre: Intellectuel
Compétences transversales (toutes disciplines),Transversal,Cycles 1–3,Se donner des méthodes de travail efficaces,compétence transversale,Ordre: Méthodologique
Compétences transversales (toutes disciplines),Transversal,Cycles 1–3,Exploiter les TIC,compétence transversale,Ordre: Méthodologique
Compétences transversales (toutes disciplines),Transversal,Cycles 1–3,Actualiser son potentiel,compétence transversale,Ordre: Personnel et social
Compétences transversales (toutes disciplines),Transversal,Cycles 1–3,Coopérer,compétence transversale,Ordre: Personnel et social
Compétences transversales (toutes disciplines),Transversal,Cycles 1–3,Communiquer de façon appropriée,compétence transversale,Ordre: Communication
